Couchbase Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MongoDB Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MySQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken,PostgreSQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken
select * from netflix_userbase,1.03,0.2,1.24,6.48,db.netflix_userbase.find(),1.27,0.19,1.46,6.16,select * from netflix_userbase,1.5,0.19,1.68,6.07,select * from netflix_userbase,1.34,0.18,1.52,5.97
select * from netflix_userbase,1.04,0.19,1.23,6.23,db.netflix_userbase.find(),1.54,0.19,1.74,6.29,select * from netflix_userbase,1.53,0.19,1.72,6.05,select * from netflix_userbase,1.22,0.18,1.4,5.93
select * from netflix_userbase,1.38,0.19,1.57,6.2,db.netflix_userbase.find(),1.36,0.19,1.55,6.16,select * from netflix_userbase,1.47,0.19,1.66,6.12,select * from netflix_userbase,1.31,0.18,1.49,5.97
select * from netflix_userbase,1.26,0.19,1.45,6.29,db.netflix_userbase.find(),1.23,0.19,1.42,6.14,select * from netflix_userbase,1.37,0.18,1.55,5.99,select * from netflix_userbase,1.17,0.19,1.36,6.08
select * from netflix_userbase,1.26,0.19,1.46,6.37,db.netflix_userbase.find(),2.14,0.19,2.33,6.14,select * from netflix_userbase,1.67,0.18,1.85,6.0,select * from netflix_userbase,1.31,0.19,1.49,6.01
select * from netflix_userbase,2.04,0.19,2.23,6.27,db.netflix_userbase.find(),1.48,0.19,1.66,6.09,select * from netflix_userbase,2.81,0.18,2.99,5.96,select * from netflix_userbase,2.8,0.22,3.02,6.82
select * from netflix_userbase,1.43,0.19,1.62,6.19,db.netflix_userbase.find(),1.17,0.18,1.35,5.98,select * from netflix_userbase,1.1,0.18,1.29,5.98,select * from netflix_userbase,2.06,0.19,2.25,6.06
select * from netflix_userbase,1.21,0.19,1.4,6.19,db.netflix_userbase.find(),1.16,0.18,1.35,6.09,select * from netflix_userbase,1.79,0.18,1.98,5.93,select * from netflix_userbase,1.38,0.19,1.57,6.04
select * from netflix_userbase,1.33,0.19,1.52,6.22,db.netflix_userbase.find(),1.2,0.18,1.38,6.09,select * from netflix_userbase,1.44,0.18,1.62,6.01,select * from netflix_userbase,0.99,0.18,1.17,5.94
select * from netflix_userbase,1.02,0.19,1.21,6.23,db.netflix_userbase.find(),1.05,0.18,1.23,6.04,select * from netflix_userbase,1.46,0.19,1.65,6.23,select * from netflix_userbase,1.44,0.18,1.63,5.99
